,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-09-06,1216.5628019074484,1224.4520011114125,1195.7732653744783,1198.899169921875,10170479,466.78798605768634,466.78798605768634,453.2493162323431,457.39752197265625,14245025
2024-09-09,1193.6893937018356,1228.8183593866072,1191.2580807218426,1225.5435791015625,13863250,457.67105577087847,467.38059970737794,456.16676226622855,466.5600891113281,14265060
2024-09-10,1227.4786328440832,1231.844966297702,1217.6048683884173,1227.8260498046875,15545130,466.69687637152293,469.52311182622276,463.8250168608902,468.24676513671875,11332248
2024-09-11,1222.0704612349368,1229.8107854485313,1217.009535927106,1226.88330078125,11993242,467.69970063527967,473.6257131371341,466.7424045783741,468.93048095703125,15497555
2024-09-12,1228.520699503871,1247.3752175091806,1216.9598787103319,1242.5623779296875,15376442,469.6142829762266,474.5374333579599,463.6426750732821,473.625732421875,19085324
2024-09-13,1242.4133910945052,1246.333097348584,1232.5396270556282,1240.7760009765625,9877288,473.6257080193676,474.0815440167886,466.7879946924352,468.4746398925781,9165077
2024-09-16,1241.4210578615323,1255.9092410243197,1235.169248684242,1253.1802978515625,8973335,470.34362273274417,471.3464850740398,464.69112327323506,465.9674987792969,7821668
2024-09-17,1250.302517024621,1262.508384404533,1248.7644580527592,1258.39013671875,11513121,465.9219171896321,468.20115510336865,461.545764214466,462.913330078125,10889862
2024-09-18,1252.3368930345305,1285.4315085718288,1252.3368930345305,1278.485107421875,12466597,463.0044794093549,467.15268536936793,460.4973235485926,462.5486145019531,5638729
2024-09-19,1278.4851014958492,1290.0459218689532,1275.5080724453824,1282.107177734375,13172268,464.96459551918156,469.34074825372676,462.685357730768,463.369140625,14461616
2024-09-20,1285.0841618950908,1351.9184375163336,1281.6606270608918,1328.201416015625,73257767,466.78799784894,471.6655817468218,463.14122316210313,468.97607421875,24725118
2024-09-23,1320.80849505564,1321.60241788708,1298.4807781970735,1311.7781982421875,11380409,469.93336635185545,473.580141232498,468.2467499449426,471.3009033203125,8105508
2024-09-24,1310.8850653274296,1321.2054564579635,1305.377513381459,1308.50341796875,13886037,471.3464925584321,472.0758417465427,468.7481752404364,469.75103759765625,7015487
2024-09-25,1300.7135877579847,1317.583418764573,1300.0685405806087,1313.7132568359375,8728019,469.978932353214,473.44338416672934,467.061506850851,471.847900390625,8802667
2024-09-26,1309.892782398436,1323.1405374478413,1306.8165432729581,1318.87353515625,11100869,471.93904887084426,477.50041546177516,471.3464563128574,476.5887145996094,16086557
2024-09-27,1322.793216287465,1322.793216287465,1293.8663936696585,1296.5953369140625,17117379,474.30950915137026,481.83097676370437,474.30950915137026,476.54315185546875,17916386
2024-09-30,1282.2064133181361,1286.870498271365,1261.168789397214,1263.252685546875,12622212,474.6285705979751,478.047427263378,468.6569629993216,472.3949279785156,10936940
2024-10-01,1260.0772141126831,1270.4471502080723,1257.8939867892805,1264.6419677734375,10972413,472.3949331059205,473.85363142974245,468.6114018224536,470.61712646484375,5285319
2024-10-03,1244.0011592918727,1256.0581509565811,1238.5929384016897,1246.7301025390625,17648551,463.6426448944806,470.161249819359,463.2323751658065,467.4717712402344,16481353
2024-10-04,1237.5508987809962,1254.7184806872842,1226.734336136113,1230.2572021484375,13488887,464.9646155648812,471.6656015344404,457.260796130997,459.0841979980469,18930962
