,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-07-25,456.09309104663214,461.6779092226846,451.11331426036946,456.04656982421875,18567567,1470.1189136102262,1489.4508041915794,1466.2227025912728,1481.4351806640625,12519876
2024-07-26,459.86288665413383,471.35829062734945,453.6730560146967,467.4489440917969,21534703,1481.4352554076795,1501.3131545447015,1479.4002684339398,1497.9381103515625,9859940
2024-07-29,470.5205683407357,471.1721309915476,459.8628713024175,461.7244873046875,12978187,1500.8416167163412,1516.2774189432153,1500.6679751498336,1508.9317626953125,7538550
2024-07-30,461.9571661211897,463.3533633251995,454.8365279309325,456.0000305175781,13891052,1505.8792447159437,1513.795627121447,1498.9058340677934,1502.03271484375,8228208
2024-07-31,458.373614385957,463.49301427967293,456.55854906003475,461.07293701171875,11982586,1492.9499231376883,1499.3524857083617,1490.1208866802617,1494.364501953125,10057346
2024-08-01,461.6313905239546,462.3760546322901,456.97737997103144,459.537109375,12114803,1500.8913109431162,1506.8472288436842,1493.2479314401046,1504.1671142578125,10764222
2024-08-02,451.25298409269624,464.88922015217565,451.25298409269624,455.25543212890625,22141163,1493.9425575637474,1498.2357327232485,1482.3037269895096,1488.3092041015625,10268248
2024-08-05,446.83163592942134,457.86164997554926,446.36621719129073,452.3699035644531,25022076,1469.1262655731218,1472.9976360481728,1422.7197433328897,1436.6912841796875,17046704
2024-08-06,452.6026191959533,457.6754978281909,450.55485925262013,452.649169921875,14251363,1444.4590050773538,1466.6447748995176,1440.6620347326755,1445.3524169921875,10236186
2024-08-07,456.0930950965633,461.3055960404738,454.32458063337543,458.5597229003906,11320399,1458.2071184913539,1461.6814036613468,1450.7622216985117,1454.062744140625,8174568
2024-08-08,459.8163204658485,463.5395227307948,458.42009380414777,460.514404296875,21349889,1446.816580877676,1454.2366377811502,1435.3018303695276,1438.478271484375,12387192
