,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2024-12-20,4108.7866456248585,4159.090570831168,3941.2650833812017,3958.159423828125,4116989,434.21927834206105,435.1035651496871,427.51750769365964,432.497314453125,20231570,1934.2329101743398,1939.865049062871,1831.639735338817,1841.8077392578125,4851843
2024-12-23,3986.39622640784,4002.484177211474,3905.5778396822147,3946.77001953125,2195338,438.5940686151742,444.6442765268234,435.2431538258243,441.4330139160156,19562956,1860.797746555635,1875.4183817216206,1802.6478968325491,1843.61865234375,4435104
2024-12-24,3946.7698461523696,4003.433132047045,3946.7698461523696,3966.8916015625,1181886,442.0380117336406,447.01778878263576,439.94370111964736,445.34234619140625,12009880,1846.8252918538715,1849.1678791154463,1801.6178966128014,1810.8221435546875,2915256
2024-12-26,3966.8916181900954,3986.301525685132,3932.3906257955578,3957.020751953125,1208464,447.2970215629146,448.50707487251225,443.06187922906,443.9461364746094,9188830,1810.6227914794815,1819.8769297449228,1780.1522431495487,1808.4130859375,2569077
2024-12-27,3951.2313201079583,3968.26840248144,3936.282510765729,3952.9873046875,858100,446.55242536015504,448.55366414032335,443.06191730157735,445.48199462890625,16906420,1818.7637799309884,1824.7781363781132,1746.8738153010952,1753.9681396484375,3015999
2024-12-30,3939.8415947124545,3985.684422832016,3902.825496858013,3947.24462890625,1527169,447.48321420762863,448.1347768639311,443.0618982898495,443.9927062988281,13578360,1744.4979540201593,1783.7076628822144,1735.0444933230358,1763.9366455078125,5874153
2024-12-31,3924.6552500458943,3929.353632155194,3826.9422956665308,3886.500244140625,1555429,445.34234180784205,451.1133336206923,441.7122113126057,450.1825256347656,13787501,1763.7705544219475,1777.7265381412599,1733.0009007243912,1769.55224609375,2706738
2025-01-01,3886.1205985527304,3923.706266508262,3877.6259252343875,3903.252685546875,763161,452.36992927745524,453.1611146274063,448.786349339299,450.4617919921875,18931186,1770.41618179937,1807.1669705754991,1759.7830921405255,1802.9801025390625,2473389
2025-01-02,3910.4184830195177,3970.2137171045247,3888.541205767093,3963.33251953125,1720835,451.7649051388864,456.09311958375633,448.92595990090587,455.2088623046875,27131131,1809.775337017122,1827.5693133771085,1781.0160667067655,1816.3380126953125,2476923
2025-01-03,3967.3190100554248,3967.3190100554248,3884.127566106747,3891.3408203125,1791953,456.3258002607226,457.02391361750296,446.645462212376,448.2743835449219,38500784,1825.4260973641435,1847.9716895348831,1765.4651850142457,1774.320556640625,3176421
2025-01-06,3896.656547350761,3938.560579997861,3859.5454399255314,3886.690673828125,2085593,440.4058897359901,446.35078327762176,426.53445180563205,427.88775634765625,22009958,1777.726466774076,1786.8642723279465,1679.68558773256,1691.0,3817821
2025-01-07,3905.6253667734477,3929.7331926762554,3807.48511819948,3823.383056640625,2669054,430.6427208727847,432.6726924603659,425.4711357210362,426.38946533203125,14294780,1691.3322736721836,1815.9392712827698,1691.3322736721836,1790.4530029296875,6021834
2025-01-08,3829.6475810881293,3916.113485341044,3813.3700813691175,3899.40869140625,2181277,428.2260697173429,436.97424286310576,422.5228390228783,434.5576171875,13482926,1791.6825091004282,1807.2832077263365,1746.8239903221152,1794.4736328125,3800709
2025-01-09,3892.3851104960186,3927.2656647049257,3820.535960823577,3833.396728515625,2392472,434.4126274415429,445.2874430291975,431.17434312214294,435.08929443359375,19732649,1794.4735799395714,1803.9769318216438,1724.9096574628454,1729.628173828125,2893500
2025-01-10,3986.3490838137277,4078.41476503514,3957.875161786487,4048.659423828125,7894300,434.94431534989513,436.92593666981674,427.74275879733165,430.0627136230469,9145729,1722.716655461254,1747.8208276682265,1683.523618104534,1701.84912109375,3925527
2025-01-13,4029.0596808346854,4103.044601693763,4012.3548884093498,4072.814697265625,4003771,420.4928844446885,429.19273722630277,420.4928844446885,424.4078063964844,17799607,1684.852685168949,1744.4647206291131,1669.102433913105,1713.4625244140625,6251274
2025-01-14,4083.160028403723,4094.454590373018,4004.429456147033,4017.71728515625,3441709,426.29277561702855,426.77610075945154,421.3145325500375,422.0395202636719,18048459,1752.8051211882614,1826.8714467491561,1728.5649230753727,1810.5728759765625,7227348
2025-01-15,4003.4329171138693,4039.927174483125,3993.419774545102,4033.425537109375,1653474,422.0395386220168,427.066102621971,420.8312257133989,422.7645263671875,9786805,1844.1836068765376,1930.2455490929508,1844.1836068765376,1922.6029052734375,10900698
2025-01-16,4043.297121528325,4075.5675680381755,3978.6139515802215,3992.32861328125,2637705,423.4411141911693,424.79444808982385,416.72291290775513,418.41455078125,15774070,1937.2234585459778,2003.9795875285577,1931.9235239103252,1991.9342041015625,8259705
2025-01-17,4020.939695681563,4021.6165011799776,3963.08887255939,3986.52880859375,1761466,418.5595763145332,427.0660870817343,418.0762511686735,425.51947021484375,11270061,1986.069425051671,2001.9027883139827,1952.1763219534732,1993.296630859375,3597489
2025-01-20,4007.3105183689017,4007.3105183689017,3932.2063483825796,3941.582275390625,1287799,424.35947781685184,426.48612025732217,421.4595269433882,423.10284423828125,8742771,2016.971998543352,2038.0388560665956,1965.4511417772992,1986.9998779296875,3832356
2025-01-21,3958.497734138814,3973.673232978695,3895.3790145716716,3901.03369140625,1971591,423.39282913963933,432.09268179319355,420.7345408288311,422.95782470703125,15686500,1994.0275969371603,1996.9350529572228,1907.8659962810068,1923.8988037109375,4172727
2025-01-22,3914.711087541146,4024.0812547656583,3909.104787428617,4017.750244140625,2409223,425.2294579278358,427.2111087280882,421.99117354679964,422.4261779785156,9619648,1927.2549349167793,1932.2392148159724,1861.130114358646,1913.531494140625,4651524
2025-01-23,4028.769436842585,4051.3395327602407,4001.7529079009387,4006.972900390625,1822998,420.49287689797217,427.1144372962157,419.6228975353898,425.51947021484375,8888248,1915.5916918309451,1977.0977802402394,1899.4260021999662,1963.7066650390625,4069887
2025-01-24,3966.9068713794295,4038.4349192551795,3966.9068713794295,4013.641845703125,1910099,424.74612978757085,430.15937728937985,424.40779628749044,426.8727722167969,9665384,1963.8063058116188,2010.2597707386906,1931.3253741507838,1939.084228515625,3725880
2025-01-27,3964.9736206923685,4017.508165667767,3906.05968881061,3929.3544921875,1551782,426.09942801772166,430.15937095928996,421.9911643624925,425.42279052734375,10480203,1897.0168973319162,1915.0599659224672,1784.7044994113098,1808.0142822265625,6137661
2025-01-28,3934.816117007367,3964.9738425768846,3893.735817565749,3905.3349609375,2468272,425.32613404915026,427.06609279760266,420.00955737353587,420.9278869628906,20813072,1808.0143253075362,1823.5819254149562,1705.172056583643,1713.5123291015625,8450283
2025-01-29,3918.5775340354608,3970.6287878295893,3918.5775340354608,3962.847412109375,1217089,421.4111847122362,422.90948078709505,415.7562748977468,418.89788818359375,15158510,1711.269352034495,1789.1571200333447,1706.6340691843457,1781.963134765625,5106936
2025-01-30,3962.943972286711,3991.941831258984,3922.927021299046,3963.0888671875,1531251,418.55960015677164,423.3928518906835,417.0613039191899,421.65289306640625,22496695,1801.8339023443018,1803.2792948787496,1725.242091968857,1740.8096923828125,4410945
2025-01-31,3972.7066328908318,3990.5405047390313,3948.7833995175843,3975.0263671875,1492943,421.94286574038716,433.2526863127406,420.5895611889515,432.5760192871094,13546181,1746.1593531553976,1767.3093223354106,1733.8814265452786,1763.08935546875,3307665
2025-02-01,3975.6063179805924,3997.741255116248,3920.510387972108,3937.08740234375,437172,433.05930484973186,455.775585349662,424.8910985721678,447.1240539550781,30393007,1768.920964291443,1817.4180328174084,1744.8303182919324,1795.6865234375,3763836
2025-02-03,3896.2490630112698,3940.80920259535,3865.12474024913,3932.738037109375,1265713,446.59243971426656,449.68573248191484,437.21591998094135,439.19757080078125,16991730,1771.4130372421532,1807.632177609127,1751.1435922020642,1799.4578857421875,3367482
2025-02-04,3947.285122132378,3981.2610880254483,3930.2248097290194,3969.85498046875,2547132,442.7258148273928,444.9974488165376,433.78430000828064,439.9708557128906,18923681,1816.9361300463372,1858.6878706797836,1811.6029748777405,1849.2841796875,3765051
2025-02-05,4011.3703550712034,4011.3703550712034,3939.8423053663196,3954.43798828125,1693912,439.9708671159242,440.64753410889205,431.6093481304944,433.2043151855469,12836283,1866.9284471505637,1945.5305155632993,1850.8291989969869,1938.2535400390625,6223398
2025-02-06,3968.259986916976,4001.2209788539626,3916.2089750568643,3946.36669921875,2284536,434.9926473462472,434.9926473462472,423.5861852824319,426.38946533203125,17469129,1946.5273931324255,1946.5273931324255,1834.2149938535654,1850.01513671875,5869194
2025-02-07,3953.374595002479,3953.374595002479,3874.113784051329,3894.798828125,1548940,425.32610601162634,430.64268233677166,414.1129573168095,416.48126220703125,18875982,1827.5693509238356,1910.2086149358809,1815.307973603346,1902.698974609375,8037120
2025-02-10,3905.044842421511,3916.6439855178123,3880.2517684472346,3902.0966796875,1339511,412.7596610777305,418.84954591665235,412.2763359476629,412.9530029296875,12227140,1903.9948769759312,1925.5768327721505,1860.7977449640427,1870.6334228515625,4127682
2025-02-11,3884.1665374644367,3905.045090759602,3822.884488602531,3831.14892578125,1810908,414.4996202235818,416.1912581807673,403.5764840713996,404.34979248046875,14288751,1877.4121478922664,1882.0807729858063,1711.6017282933285,1723.6138916015625,7226934
