,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-04,1099.2635318209977,1119.7845295836617,1093.8487950722674,1118.4649658203125,10847728,3398.199695361705,3449.6900828682983,3380.991694998178,3445.787353515625,2488606,1704.2495919258429,1711.610845493857,1685.891551505521,1704.8780517578125,3921999,722.9690425129386,729.1047782359835,717.166287896205,727.0357666015625,8857352,744.9265052853369,754.6751896603275,740.7068848328263,749.6795654296875,12114437
2022-01-05,1120.2397357543007,1127.0649046036285,1107.0215901475167,1123.69775390625,11643813,3428.268188380362,3432.703205441656,3381.6117222741204,3424.67578125,1733031,1705.6411220873179,1708.2444909797823,1651.7787708635078,1655.953125,6995719,730.9597934637957,747.7022116190719,726.8217120360403,744.3013916015625,14332638,749.8251667459118,771.9900913951558,748.0791432698401,764.4239501953125,19741360
2022-01-06,1115.3255331004264,1116.5996031111947,1096.123976548564,1099.53662109375,14447422,3381.2580780830654,3401.6591630242797,3345.7779303592133,3377.22216796875,1810293,1641.0061644901782,1641.0061644901782,1615.8704026708538,1631.849609375,6449205,733.9086759071455,739.4974166342414,727.7491933941105,732.3628540039062,9628930,751.8135989795604,768.7404510358562,750.7950903492147,761.5137939453125,13018067
2022-01-07,1106.11137689842,1118.4421482661342,1097.284116906681,1108.4091796875,13112115,3388.3537388899704,3428.180113754431,3367.420367389519,3418.068359375,2460591,1629.739793435008,1648.1876896772642,1621.9747266812612,1628.70751953125,4834389,734.3843069802756,745.2050602081262,730.5316548059,737.499755859375,11179384,768.4495088790554,778.2466827734125,762.6778806439341,769.468017578125,12250210
2022-01-10,1115.6895654128748,1117.9646215781718,1099.3318598320666,1109.3193359375,9246731,3528.499982192148,3528.499982192148,3424.7205709512023,3441.440673828125,3937092,1629.3358540641252,1678.6199191698154,1627.5404426546881,1661.4288330078125,7857560,741.0432152309048,747.7021401431209,735.0977465592833,741.5902099609375,8856496,776.2580937359975,788.4318264452507,775.0455693783967,786.4432983398438,10905080
2022-01-11,1108.409307707792,1126.1319502273575,1107.9542483452858,1117.3048095703125,16205164,3420.285568039854,3481.4888108289488,3420.285568039854,3473.4169921875,1906106,1665.2442353583547,1678.7098221671822,1660.890384206812,1665.7828369140625,5142287,742.731769713943,746.1325314282669,736.191754015291,744.80078125,8389198,785.4732722642977,790.2748805211734,777.8586430445617,786.3463134765625,9982061
2022-01-12,1124.471284081761,1148.8827357783716,1121.604686652831,1147.130859375,14800442,3481.488641790242,3485.0366556927033,3403.033227682781,3423.74462890625,3203744,1677.7223862621913,1695.7662508688193,1669.7327827506638,1685.397705078125,5362535,745.7995355580115,749.9138111897546,738.1893362155828,740.4010620117188,21085530,794.0579645991324,800.7026339113712,787.7043485105037,799.0535888671875,13034848
2022-01-13,1147.19918473575,1156.1856749337926,1141.3522552982324,1153.592041015625,11856712,3475.2805212742887,3479.715539805777,3421.173295190131,3457.45166015625,6684507,1710.1294538640775,1716.8622469895265,1675.4331047076187,1702.768310546875,14277630,739.6163836574055,739.6163836574055,723.1593361863409,726.774169921875,41963896,796.3860136465046,803.1761501818585,792.8939671104393,799.97509765625,9372244
2022-01-14,1153.455515914101,1168.1523329319614,1149.2921017722908,1155.2755126953125,19930176,3439.6666946537052,3527.613007244821,3423.877988650264,3519.762939453125,3348123,1689.482300136632,1735.2652955175927,1688.5845943448485,1731.9886474609375,7688506,727.7253548760855,736.6197526556398,722.4933425207672,734.9312744140625,11208968,796.3860351562499,797.3560546875,787.2678278803825,795.416015625,7552844
2022-01-17,1154.8205993720844,1167.105878804206,1154.3655399895374,1161.304443359375,8036453,3541.538800935803,3586.1551199160176,3514.573981387204,3565.0,3442604,1740.2474431377093,1754.0272038314308,1733.020868358922,1741.1002197265625,5262464,727.7254140843227,740.0919897485006,722.5647585444003,723.6824951171875,22989372,795.4160250326835,804.0492226450341,790.1294066837855,794.7369995117188,6722700
