,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,
2024-04-19,1446.0720814485837,1463.1705049395248,1432.4231028577299,1459.323974609375,15741778,3599.3174326502835,3612.9626239981167,3564.5245644253832,3588.251220703125,2957749,1303.9565542134908,1343.3576733174316,1298.072273734188,1328.6705322265625,20603621,723.4827148610226,747.0382572891224,720.4165709168466,745.2619018554688,34576434
2024-04-22,1461.6317610616636,1471.9305352298081,1457.0160218672338,1468.9774169921875,10350362,3598.3795176848753,3636.829754907987,3574.9342510854167,3624.26318359375,1728883,1336.8142967644505,1352.772418228229,1330.3651488397243,1348.912353515625,5859087,757.9643557818745,757.9643557818745,734.0680986992392,735.9661254882812,42298438
2024-04-23,1468.1337674689391,1482.5272357774581,1444.8561033979943,1448.603271484375,14605554,3635.9392984592287,3652.7729560208513,3620.5123570552523,3633.7353515625,1807586,1358.5625485511725,1362.1872419980825,1349.147700674865,1357.9976806640625,4856174,742.8284142738174,742.9257276507318,731.6102850251966,733.7273559570312,26827060
2024-04-24,1452.7475596039474,1457.7605053579202,1438.8504186169605,1439.5205078125,10462776,3648.083452943258,3655.585938193527,3586.6099186323313,3592.799560546875,1317312,1359.7865843478146,1359.7865843478146,1343.54597104933,1347.0294189453125,4268213,737.3289261268269,740.6140550056098,734.4331696198528,735.7228393554688,22441580
2024-04-25,1431.9018276580116,1457.189636393573,1430.9091747445573,1449.2484130859375,15943926,3574.1837976912666,3632.7500252586483,3573.996281358353,3612.634033203125,2856271,1336.9084594402714,1360.351454707475,1336.9084594402714,1354.27880859375,9089398,733.0704121681982,739.616311752735,733.0704121681982,735.260498046875,35445204
2024-04-26,1453.1943211694756,1454.2366552962403,1439.346860190818,1441.878173828125,9413848,3615.4011908108196,3635.7049318750132,3566.072480422347,3583.703369140625,2039178,1355.4557017420498,1360.8222343797577,1343.4988900371166,1346.5587158203125,8062444,739.6650141563123,743.6558134751455,732.729742335618,734.7981567382812,24854694
2024-04-29,1439.3467183436048,1457.1152296530197,1439.3467183436048,1454.2613525390625,7247974,3599.3174341023114,3636.6423454168485,3581.6865473099597,3629.514892578125,1110693,1346.276115171065,1355.549832195807,1344.675637016024,1350.7952880859375,5055957,737.3289207914913,746.7949349875348,733.216449914726,744.3858642578125,36093350
2024-04-30,1457.2144546560796,1472.178648628076,1452.1271085524606,1456.2218017578125,11474262,3631.20256327055,3640.346216419281,3573.0583073504117,3583.0458984375,2203078,1350.7481874189334,1352.4900262289832,1334.601815150425,1337.42626953125,6936588,744.2398024289921,749.2526892649995,737.2802320622603,739.8109741210938,52307382
2024-05-02,1461.185178797564,1466.4710074185996,1453.368036621592,1455.7752685546875,14512646,3543.0955870607045,3630.35891420508,3543.0955870607045,3623.0439453125,2491044,1330.3179985042082,1340.6743311181829,1329.235268018188,1331.68310546875,10076354,740.7356535814621,748.0359392606487,739.9326102747762,745.7241821289062,33475006
2024-05-03,1460.1925152681529,1464.1134460205978,1405.7455242326487,1423.46435546875,17226958,3648.2239953859785,3651.4596252829774,3561.4298032069573,3604.38134765625,2962234,1338.8855920418562,1341.4276701119534,1321.0915052605797,1333.425048828125,8842345,746.2108990812835,749.7880273318675,733.5327119903678,739.567626953125,31865242
2024-05-06,1424.9533097670264,1429.4202480421582,1407.5818831415143,1409.095703125,7394208,3613.384573734727,3694.927167103904,3613.384573734727,3677.20263671875,2053831,1336.9084732924218,1361.1045877183944,1334.1781442699464,1342.4632568359375,6445422,740.7357053714223,746.819277196089,738.3752913854279,741.0520629882812,28793396
2024-05-07,1405.571689953147,1410.311631866643,1381.772860502106,1391.17822265625,14517472,3686.3464581217104,3739.9891860111734,3670.1222867238534,3731.501953125,2062112,1341.5686898255074,1358.8920327440642,1332.7658301275853,1356.6324462890625,6080661,740.7113274497933,741.7334150168236,732.0483570497901,733.021728515625,28480602
2024-05-08,1387.2325360419566,1422.4220356245855,1387.2325360419566,1408.1279296875,9439002,3714.6681858171114,3736.5192209369857,3693.66131770256,3729.626220703125,1247685,1351.2661306551702,1355.5028124792066,1342.1807788692665,1343.7813720703125,6234983,728.0574791574124,728.5441648774708,720.465193806477,721.5845947265625,41687862
