,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2024-12-24,3946.7700890546093,4003.4333784366027,3946.7700890546093,3966.891845703125,1181886,889.0083275055933,892.2889348142179,882.8416818560752,887.0596313476562,14485834,442.0380117336406,447.01778878263576,439.94370111964736,445.34234619140625,12009880
2024-12-26,3966.8916181900954,3986.301525685132,3932.3906257955578,3957.020751953125,1208464,887.2816657547127,893.916952377888,878.5003382709294,883.4336547851562,10481678,447.2970215629146,448.50707487251225,443.06187922906,443.9461364746094,9188830
2024-12-27,3951.2313201079583,3968.26840248144,3936.282510765729,3952.9873046875,858100,885.4316968356189,890.9322967259654,882.6196702111419,887.1336669921875,7259330,446.55242536015504,448.55366414032335,443.06191730157735,445.48199462890625,16906420
2024-12-30,3939.841838395195,3985.6846693501766,3902.8257382512747,3947.244873046875,1527169,884.1489668763874,895.3969526845203,873.6903598921683,877.0943603515625,22222218,447.48321420762863,448.1347768639311,443.0618982898495,443.9927062988281,13578360
2024-12-31,3924.6552500458943,3929.353632155194,3826.9422956665308,3886.500244140625,1555429,873.3450677348718,879.0183818635131,871.0263727843891,874.60302734375,14117236,445.34234180784205,451.1133336206923,441.7122113126057,450.1825256347656,13787501
2025-01-01,3886.120355483683,3923.7060210883064,3877.625682696665,3903.25244140625,763161,874.8989303590305,885.0369191568942,868.8062969452952,879.4869384765625,7313806,452.36992927745524,453.1611146274063,448.786349339299,450.4617919921875,18931186
2025-01-02,3910.4187239006465,3970.21396166903,3888.541445300585,3963.332763671875,1720835,876.699651347947,889.6989281059142,874.6770036544534,884.9136352539062,18558576,451.7649051388864,456.09311958375633,448.92595990090587,455.2088623046875,27131131
2025-01-03,3967.31925896288,3967.31925896288,3884.1278097948166,3891.341064453125,1791953,883.5569553072743,885.6536147489581,861.5050553855514,862.9356689453125,24426194,456.3258002607226,457.02391361750296,446.645462212376,448.2743835449219,38500784
2025-01-06,3896.656302584134,3938.560332599053,3859.545197490021,3886.6904296875,2085593,858.4464162412277,866.8823756490298,841.5251763034672,843.8438110351562,18816348,440.4058897359901,446.35078327762176,426.53445180563205,427.88775634765625,22009958
2025-01-07,3905.6256161656233,3929.7334436078268,3807.4853613249484,3823.38330078125,2669054,846.063732614296,849.0237223493897,838.6637582765616,845.2744140625,13527906,430.6427208727847,432.6726924603659,425.4711357210362,426.38946533203125,14294780
