,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-09-13,4289.098178257309,4305.194131685647,4265.427658509752,4282.091796875,1458786,483.55177740140044,484.0171666381423,476.57076185132354,478.2927551269531,9165077
2024-09-16,4286.258044672285,4304.2947971775275,4255.43921052289,4273.2392578125,1155120,480.20089978594154,481.2247797226006,474.4299374611518,475.7330627441406,7821668
2024-09-17,4273.238899164255,4294.589522896417,4228.501617164474,4266.04296875,1699364,475.68650794774527,478.0135131474731,471.21864144436574,472.6148681640625,10889862
2024-09-18,4257.9000607847665,4257.9000607847665,4091.2124529893836,4115.02490234375,2961779,472.7079419349947,476.94308433487333,470.1482421053882,472.2425231933594,5638729
2024-09-19,4156.590462569691,4187.031121100962,4054.0971111064046,4067.68408203125,2927551,474.7091530835231,479.1770196230398,472.38214786497383,473.08026123046875,14461616
2024-09-20,4087.330245250953,4100.396648484873,4002.6845659351775,4057.031982421875,5447908,476.5707542994241,481.5505606528095,472.8475519650138,478.8046875,24725118
2024-09-23,4071.32949426943,4080.229517445096,4026.828916076253,4041.504638671875,1702319,479.7820558718561,483.50525851039043,478.0600919826822,481.1782531738281,8105508
2024-09-24,4025.5503382140823,4062.807827087179,4014.5199689698525,4044.1552734375,3012026,481.22477807872787,481.96941266651345,478.57200629730727,479.59588623046875,7015487
2024-09-25,4026.2141547688016,4061.4832351175246,4014.5208235861746,4047.4228515625,2713073,479.8285876329136,483.3656462246209,476.85001973985106,481.7367248535156,8802667
2024-09-26,4033.457322455591,4087.2365684956953,4033.457322455591,4064.22900390625,3964251,481.82979240141503,487.50771228617066,481.2247804832943,486.576904296875,16086557
2024-09-27,4104.468587471434,4145.181886032281,4071.37701220358,4079.5673828125,3012477,484.2498800632578,491.92897929887965,484.2498800632578,486.53033447265625,17916386
2024-09-30,4058.926049161128,4070.1459682536542,4033.5038178792897,4041.504638671875,2503416,484.5756816249072,488.06618957500433,478.47892301876533,482.29522705078125,10936940
2024-10-01,4029.2437843865223,4067.30617221608,4017.3142100448013,4059.87353515625,1823365,482.2952288952036,483.78449813302376,478.4324036223028,480.48016357421875,5285319
2024-10-03,4035.917963481725,4051.4457303263985,3986.1151027516094,4007.6552734375,3350119,473.3595144685611,480.0147341646593,472.94064644228075,477.2688903808594,16481353
