,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-07-11,417.0,418.04998779296875,415.5,416.79998779296875,8578844,3218.0186968972475,3252.2478474361797,3180.181641042415,3184.9599609375,7635550,1555.2902357933656,1582.8680505457567,1539.433016356687,1570.85205078125,11391755
2025-07-14,417.04998779296875,419.95001220703125,416.54998779296875,419.3999938964844,6896989,3184.9597625910983,3190.8108827918168,3120.5974403831947,3142.734130859375,3924009,1567.7988696310574,1567.7988696310574,1536.2813659941348,1546.623046875,9173426
2025-07-15,420.8999938964844,422.3999938964844,419.0,422.1000061035156,8532755,3126.448660244279,3178.523536457564,3126.448660244279,3171.599853515625,2590889,1541.5013602388092,1579.4208563061295,1540.4179701114037,1561.6922607421875,7614807
2025-07-16,422.1000061035156,425.45001220703125,420.29998779296875,424.6000061035156,9780773,3157.607249475903,3175.1222359666176,3151.344969328223,3163.576171875,2540733,1555.1918577227598,1587.6942841349517,1554.6993967165145,1583.6561279296875,6223491
2025-07-17,425.79998779296875,425.8999938964844,423.0,423.95001220703125,7240795,3154.7696780470374,3172.2846643823304,3135.199754145851,3140.18994140625,2947640,1573.9053927711557,1585.7244570472844,1556.2752645133157,1559.6240234375,7374814
2025-07-18,425.20001220703125,425.20001220703125,420.1000061035156,422.75,6730256,3155.6502438038765,3159.3685771406017,3118.46738821797,3121.304931640625,3432645,1568.0942241264431,1575.1857343566385,1556.176692489401,1562.1846923828125,5161833
2025-07-21,422.0,422.75,418.3999938964844,420.1000061035156,4822343,3121.4028477301345,3128.839514334287,3084.2199924907163,3090.28662109375,3844346,1556.1767745731315,1565.041072656143,1543.1758521432762,1560.4119873046875,3682661
2025-07-22,420.1000061035156,420.3999938964844,415.20001220703125,416.0,9869507,3091.65673828125,3111.7159107005,3086.764257203384,3091.65673828125,3198036,1541.4029254290974,1561.889351060241,1541.4029254290974,1547.2139892578125,8473741
2025-07-23,417.1000061035156,417.8999938964844,414.0,414.95001220703125,12196187,3091.6566291573,3113.5748480562365,3089.6996367952283,3110.7373046875,1922875,1552.5325511946266,1567.897309898412,1526.629055261839,1550.7596435546875,8035026
2025-07-24,415.8500061035156,415.8500061035156,409.45001220703125,409.95001220703125,9005157,3097.0385335433134,3105.4534578423713,3072.478182452152,3080.30615234375,2934778,1556.1767861186595,1558.1466301517212,1524.8562179010848,1529.0914306640625,14169664
