,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-06-03,410.3990201585084,413.04360813984886,407.1177809642176,408.39111328125,13216486,1535.4933708621093,1543.6682714095227,1512.4461724234918,1519.734619140625,6853403,1443.7598455387374,1443.8590556109682,1421.035166759386,1426.8900146484375,11167345
2025-06-04,408.586978384479,410.39900862513116,407.4116292300163,408.4400634765625,12598933,1519.7346010168856,1533.8190332918903,1518.158749909477,1527.8109130859375,4548307,1426.3938661679927,1429.0731438395549,1415.4780930628378,1420.0428466796875,8025388
2025-06-05,409.9092587388879,412.30897842272395,407.2157092489669,410.4969482421875,13212523,1524.5607331925255,1544.0621159555858,1518.3556767230737,1530.8642578125,6948539,1419.9436226094324,1447.8284366760695,1416.3712120373557,1443.66064453125,11385668
2025-06-06,411.67231694542346,412.6517895338172,410.39901453696416,412.40692138671875,8774988,1531.2581829658582,1545.2441474823067,1519.8331118292815,1540.2210693359375,3960020,1437.5080878919146,1450.2101271201,1431.0578582020253,1448.5230712890625,11580994
2025-06-09,413.33744096123485,414.9046031137218,411.86823204786555,414.3658752441406,10473123,1554.2069160448225,1564.0561360451065,1547.3124620446238,1549.183837890625,2903202,1453.7825541382838,1455.5688200651953,1422.4245382897982,1423.8138427734375,11022031
2025-06-10,415.78612073411426,419.75297282706833,414.3658735007135,418.23480224609375,13041075,1560.116482612782,1583.2621501262925,1553.7144894707471,1571.935546875,8591925,1427.9815809293386,1430.660858582463,1405.6538633679,1412.0048828125,12905272
2025-06-11,419.2142518774774,419.312205110815,416.12891931968926,417.4022216796875,20789182,1566.1244242034918,1609.9534525332194,1566.1244242034918,1606.5062255859375,10597410,1410.9133394459884,1423.5160472131458,1407.737769134025,1420.0428466796875,7136877
2025-06-12,418.2347759328376,418.43068239792314,410.9376935297822,412.3579406738281,18508835,1592.6188275892266,1603.452969273507,1574.0037782857437,1584.345458984375,10483574,1419.5466979345517,1425.5007560873705,1409.127096167119,1414.2872314453125,7953247
2025-06-13,406.48111231744474,410.7418239308055,405.01190347774315,405.4036865234375,17873926,1552.2369998927122,1584.7394243828517,1546.5244044661895,1577.844970703125,6968315,1392.8526699787633,1410.6156346634868,1392.8526699787633,1405.2569580078125,7573103
2025-06-16,406.4321620890675,410.30106087453294,404.7670467340719,409.6154479980469,7006629,1575.875214344727,1610.1505483486199,1573.01891647278,1599.31640625,5591842,1405.7530618658518,1418.0581392255135,1403.3714144517853,1415.9742431640625,5451137
2025-06-17,409.5174909056936,410.44797192026425,407.1667626963428,408.83184814453125,9028406,1596.2630097727385,1622.5604988569514,1591.2399317053334,1615.173583984375,7622083,1415.9742319665809,1418.8520508551696,1406.9439350146247,1412.302490234375,6970098
