,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-02-25,3503.907852529123,3535.8054964280086,3500.283120267886,3508.305908203125,4101954,1217.2079253456668,1222.2193060560244,1211.6508286551266,1214.7767333984375,11059417,1877.412156149404,1882.5126467310747,1824.246462756441,1828.23388671875,5196522
2025-02-27,3491.0523230089602,3516.473827507661,3480.419774327656,3491.8740234375,3823856,1215.769120615194,1225.3947998146707,1209.1203494513463,1213.0897216796875,12008162,1832.5368757340518,1835.5441146119963,1701.3007666672088,1715.4229736328125,8244900
2025-02-28,3465.195760859545,3479.743067268356,3341.5199398740847,3366.89306640625,7085018,1206.6891556122284,1215.620243112648,1190.9108768010287,1194.8802490234375,20215075,1701.3007737053308,1727.5513541751461,1512.2969107076037,1539.71044921875,21537918
2025-03-03,3368.584339801977,3405.556606946145,3360.0298777157327,3376.365478515625,4990439,1201.2312348006667,1207.6814644794808,1194.929880803104,1196.964111328125,8158881,1533.4968307020165,1533.4968307020165,1443.3311338538206,1448.581298828125,19020465
2025-03-04,3357.952083726606,3432.3799220820893,3348.576156481458,3414.06298828125,2797737,1197.9068433475454,1207.334101585249,1197.0137104452713,1201.1319580078125,9574490,1422.8790053241544,1516.865900244701,1391.2785982891337,1479.882568359375,19251951
2025-03-05,3403.2370189380595,3480.081342184221,3403.2370189380595,3428.561767578125,2501894,1207.6814517983407,1216.5628733470458,1202.0251450551775,1206.391357421875,9052846,1428.82693749824,1452.967474462397,1340.804506265873,1428.52783203125,32713731
2025-03-06,3438.179549305139,3488.87742658408,3417.977801534333,3481.289794921875,2786513,1218.5476101118768,1218.5476101118768,1199.7427576093883,1208.7235107421875,11949475,1455.4097331721362,1456.655803149167,1400.5826541827748,1413.3590087890625,14681475
2025-03-07,3479.743027656133,3503.9079097926337,3454.998093954285,3490.56884765625,2051315,1201.8265880949464,1208.5249033729367,1197.0634143564148,1205.250244140625,6620284,1405.5336913194922,1437.0675359203576,1382.9880997771986,1388.3878173828125,11041449
2025-03-10,3486.0259949428714,3501.1049762137254,3462.9244613654673,3469.73876953125,1004626,1198.7503263397664,1216.4140799337886,1198.7503263397664,1205.5478515625,7363437,1385.6298206587867,1406.829681416581,1321.1830568210576,1328.7923583984375,12517161
2025-03-11,3439.146261421323,3468.869068486726,3419.4759516197346,3455.868408203125,1995450,1207.8798680000234,1238.4440812807522,1207.8798680000234,1235.864013671875,10927950,1302.558406519484,1322.1466503607323,1223.4745819281572,1265.9239501953125,21787773
2025-03-12,3445.912018992584,3450.020048748746,3370.3726956351015,3389.076171875,3174167,1237.4020778822246,1242.3637929723905,1225.8413786306357,1234.425048828125,11548372,1284.282793988528,1352.0357784072066,1284.282793988528,1333.9261474609375,18983265
2025-03-13,3385.3064520665353,3406.5715466921038,3367.7144664369603,3393.76416015625,1693004,1241.4707365370484,1245.9858244254206,1235.7647643884725,1240.4783935546875,8132940,1333.9261727794876,1348.8624629990761,1295.9127641475643,1304.63525390625,11311809
2025-03-17,3372.450776071524,3412.516101378981,3361.1900359739784,3380.860107421875,2690906,1247.4248742515454,1264.1953748180651,1245.1424367918191,1259.2833251953125,11164812,1319.039765326631,1337.4483802749353,1296.2450814778401,1316.6307373046875,8727396
2025-03-18,3380.860107421875,3380.860107421875,3380.860107421875,3380.860107421875,0,1259.2833251953125,1259.2833251953125,1259.2833251953125,1259.2833251953125,0,1316.6307373046875,1316.6307373046875,1316.6307373046875,1316.6307373046875,0
2025-03-19,3428.5135286476893,3428.5135286476893,3347.077874633433,3380.280517578125,3051244,1295.6029599370165,1308.2057883620175,1292.1794251380722,1303.0455322265625,11278014,1383.6361433502216,1466.4583041645683,1380.8116774233788,1459.5467529296875,15512586
2025-03-20,3394.68252652922,3459.3960314822807,3394.68252652922,3444.123779296875,2845192,1309.8927772461004,1314.1102350516276,1301.0113557334153,1311.5797119140625,10886735,1473.3531020678597,1512.8950144028624,1447.1025213470582,1488.0068359375,16108614
2025-03-21,3358.9184009741334,3495.449976265528,3349.2524487411147,3458.574462890625,4161925,1305.923445707521,1338.6707661545943,1301.5571120874529,1332.81591796875,60494318,1491.6288085947901,1611.5837253006478,1480.3642878247715,1588.24072265625,21103122
2025-03-24,3479.7429444303652,3527.831058731868,3447.4587570622184,3507.725830078125,1834751,1345.5675050388625,1362.4870024308004,1334.7510627437973,1347.750732421875,9352280,1608.2610044168998,1631.1554712916468,1535.7230615948395,1546.8048095703125,17437431
2025-03-25,3523.2398747468987,3586.0685693582973,3516.473707634902,3535.56396484375,3135390,1348.5941513991709,1353.3574463042776,1319.8658696966822,1333.4112548828125,16419207,1556.4244707577113,1587.426666603423,1533.7625471606825,1545.675048828125,12418947
2025-03-26,3525.897934373459,3557.553929809202,3504.7295921250025,3514.34716796875,1734499,1333.7586400786652,1347.6017762925185,1321.304687138062,1325.6710205078125,10859639,1551.772372545354,1557.4213039957854,1479.6665406837594,1486.8770751953125,8879835
